"","vehicle","model","region","season","month","year","distance","efficiency","kwh"
"462","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Autumn",5,2020,720,8.2,87.8
"463","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Winter",6,2020,1252,8.1,154.6
"464","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Winter",7,2020,1048,8.1,129.4
"465","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Winter",8,2020,1100,8.1,135.8
"466","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Spring",9,2020,1195,8,149.4
"467","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Spring",10,2020,1265,8.1,156.2
"468","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Spring",11,2020,1030,8.1,127.2
"469","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Summer",12,2020,1310,8.1,161.7
"470","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Summer",1,2021,800,8.3,96.4
"471","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Summer",2,2021,1060,8.1,130.9
"472","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Autumn",3,2021,1260,8.1,155.6
"473","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Winter",8,2019,1612,6.8,237.1
"474","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Spring",9,2019,1477,7,211
"475","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Spring",10,2019,1323,7.1,186.3
"476","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Spring",11,2019,1729,7.1,243.5
"477","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Summer",12,2019,1706,7.2,236.9
"478","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Summer",1,2020,1410,6.8,207.4
"479","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Summer",2,2020,1729,7,247
"480","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Autumn",3,2020,1134,7.1,159.7
"481","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Autumn",4,2020,1266,6.9,183.5
"482","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Autumn",5,2020,1559,7,222.7
"483","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Winter",6,2020,1954,6.9,283.2
"484","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Winter",7,2020,2717,6.9,393.8
"485","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Winter",8,2020,1294,6.8,190.3
"486","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Spring",9,2020,1590,6.9,230.4
"487","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Spring",10,2020,1840,6.9,266.7
"488","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Spring",11,2020,2270,6.9,329
"489","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Summer",12,2020,1905,7.1,268.3
"490","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Summer",1,2021,1481,7.3,202.9
"491","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Summer",2,2021,1390,7.2,193.1
"492","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Autumn",3,2021,1824,6.9,264.3
"493","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Autumn",4,2021,2040,6.9,295.7
