"","year","month","weather_region","vehicle","model","region","season","distance","efficiency","kwh","economy","wh","HDD","CDD","avg_temp","time_month","date","predict_vehicle_econ","wh_pred"
"24236",2022,1,"auckland","53d741a0","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",472,7.1,66.5,140.845070422535,66500,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,129.855787316393,61291.9316133377
"24237",2022,1,"auckland","acda1f04","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",409,7.7,53.1,129.87012987013,53100,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,129.791032587306,53084.5323282084
"24238",2022,1,"auckland","84da2909","Nissan Leaf (30 kWh)","Auckland","Summer",692,7.1,97.5,140.845070422535,97500,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,130.439760022032,90264.3139352462
"24239",2022,1,"auckland","48d9e6ac","Nissan Leaf (24 kWh) 2011-2012","Auckland","Summer",384,6.9,55.7,144.927536231884,55700,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,139.277436197495,53482.5354998382
"24240",2022,1,"auckland","9f6f038d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",742,7.3,101.6,136.986301369863,101600,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,130.821364515327,97069.4524703725
"24241",2022,1,"auckland","2c2df80c","Nissan Leaf (30 kWh)","Auckland","Summer",520,7.8,66.7,128.205128205128,66700,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,130.716105716593,67972.3749726283
"24242",2022,1,"auckland","0d260e9d","Nissan Leaf (24 kWh) 2013-2016","Coromandel","Summer",387,7.3,53,136.986301369863,53000,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,136.622570500816,52872.9347838158
"24243",2022,1,"auckland","8673e245","Nissan Leaf (24 kWh) 2013-2016","Rodney","Summer",1141,6.3,181.1,158.730158730159,181100,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,152.870557980741,174425.306656025
"24244",2022,1,"auckland","d2c567e0","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1312,8.2,160,121.951219512195,160000,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,119.510202463893,156797.385632627
"24245",2022,1,"auckland","c64d22d7","Nissan Leaf (30 kWh)","Auckland","Summer",964,6.9,139.7,144.927536231884,139700,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,141.121947930892,136041.55780538
"24246",2022,1,"auckland","8e82b930","Nissan Leaf (40 kWh)","Auckland","Summer",273,7.1,38.5,140.845070422535,38500,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,134.514181577756,36722.3715707273
"24247",2022,1,"auckland","a947d844","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",822,7.6,108.2,131.578947368421,108200,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,135.1672711376,111107.496875107
"24248",2022,1,"auckland","f952a6ad","Hyundai Kona (EV)","Auckland","Summer",640,7.4,86.5,135.135135135135,86500,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,138.27639229537,88496.8910690371
"24249",2022,1,"auckland","60005b95","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",434,8.2,52.9,121.951219512195,52900,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,124.961248269497,54233.1817489619
"24250",2022,1,"auckland","38e9e9a5","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1250,8.2,152.4,121.951219512195,152400,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,121.044300870047,151305.376087559
"24251",2022,1,"auckland","11539c20","Nissan Leaf (30 kWh)","Auckland","Summer",1215,7.6,159.9,131.578947368421,159900,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,139.00642618856,168892.807819101
"24252",2022,1,"auckland","f1b9b7c5","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",863,7.9,109.2,126.582278481013,109200,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,119.526476959009,103151.349615625
"24253",2022,1,"auckland","efc731c9","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",958,8,119.8,125,119800,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,130.4996222215,125018.638088197
"24254",2022,1,"auckland","ee996bb2","Nissan Leaf (30 kWh)","Auckland","Summer",326,7,46.6,142.857142857143,46600,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,137.57669993395,44850.0041784677
"24255",2022,1,"auckland","f7d2b5ab","Nissan Leaf (30 kWh)","Auckland","Summer",1032,6.6,156.4,151.515151515152,156400,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,156.039487980797,161032.751596182
"24256",2022,1,"auckland","c3cf3190","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",932,7.1,131.3,140.845070422535,131300,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,140.983931856569,131397.024490322
"24257",2022,1,"auckland","4080a741","Nissan Leaf (30 kWh)","Auckland","Summer",5097,7.1,717.9,140.845070422535,717900,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,136.70721581237,696796.678995652
"24258",2022,1,"auckland","869ba62b","Kia Soul","Auckland","Summer",356,7.5,47.5,133.333333333333,47500,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,138.357606550798,49255.307932084
